Surface Cracking,Surface (0-10 cm)Soil Texture Class,Slope,Profile (0-50 cm) AWHC,Grass Productivity,Grass Erosion,Maize Productivity Potential,Maize Erosion Risk
N,Sandy Loam,flat (0-2%),5.56,0,0,0.86,0.00
N,Sandy Loam,gentle (3-5%),5.56,0,0,0.82,0.01
N,Sandy Loam,moderate (6-10%),5.56,0,0,0.78,0.04
N,Sandy Loam,rolling (11-15%),5.56,0,0,0.74,0.09
N,Sandy Loam,hilly (16-30%),5.56,0,0,0.66,0.32
N,Sandy Loam,steep (31-60%),5.56,0,0,0.52,0.49
N,Sandy Loam,very steep (>60%),5.56,0,0,0.41,0.62
N,Silty Clay Loam,flat (0-2%),8.5,0,0,0.71,0.00
N,Silty Clay Loam,gentle (3-5%),8.5,0,0,0.67,0.01
N,Silty Clay Loam,moderate (6-10%),8.5,0,0,0.63,0.04
N,Silty Clay Loam,rolling (11-15%),8.5,0,0,0.58,0.10
N,Silty Clay Loam,hilly (16-30%),8.5,0,0,0.53,0.27
N,Silty Clay Loam,steep (31-60%),8.5,0,0,0.42,0.39
N,Silty Clay Loam,very steep (>60%),8.5,0,0,0.36,0.49
N,Clay Loam,flat (0-2%),6.2,0,0,0.61,0.01
N,Clay Loam,gentle (3-5%),6.2,0,0,0.56,0.03
N,Clay Loam,moderate (6-10%),6.2,0,0,0.50,0.09
N,Clay Loam,rolling (11-15%),6.2,0,0,0.45,0.21
N,Clay Loam,hilly (16-30%),6.2,0,0,0.36,0.56
N,Clay Loam,steep (31-60%),6.2,0,0,0.27,0.76
N,Clay Loam,very steep (>60%),6.2,0,0,0.23,0.81
N,Silty Clay Loam,flat (0-2%),7.48,0,0,0.43,0.01
N,Silty Clay Loam,gentle (3-5%),7.48,0,0,0.39,0.04
N,Silty Clay Loam,moderate (6-10%),7.48,0,0,0.35,0.11
N,Silty Clay Loam,rolling (11-15%),7.48,0,0,0.32,0.26
N,Silty Clay Loam,hilly (16-30%),7.48,0,0,0.28,0.57
N,Silty Clay Loam,steep (31-60%),7.48,0,0,0.25,0.76
N,Silty Clay Loam,very steep (>60%),7.48,0,0,0.24,0.81
N,Silty Clay Loam,flat (0-2%),8.02,0,0,0.48,0.01
N,Silty Clay Loam,gentle (3-5%),8.02,0,0,0.44,0.04
N,Silty Clay Loam,moderate (6-10%),8.02,0,0,0.39,0.11
N,Silty Clay Loam,rolling (11-15%),8.02,0,0,0.35,0.27
N,Silty Clay Loam,hilly (16-30%),8.02,0,0,0.23,0.56
N,Silty Clay Loam,steep (31-60%),8.02,0,0,0.25,0.75
N,Silty Clay Loam,very steep (>60%),8.02,0,0,0.25,0.79
N,Clay Loam,flat (0-2%),6.44,0,0,0.63,0.01
N,Clay Loam,gentle (3-5%),6.44,0,0,0.59,0.02
N,Clay Loam,moderate (6-10%),6.44,0,0,0.54,0.06
N,Clay Loam,rolling (11-15%),6.44,0,0,0.48,0.15
N,Clay Loam,hilly (16-30%),6.44,0,0,0.41,0.43
N,Clay Loam,steep (31-60%),6.44,0,0,0.31,0.60
N,Clay Loam,very steep (>60%),6.44,0,0,0.27,0.70
N,Sand,flat (0-2%),3.52,0,0,0.71,0.00
N,Sand,gentle (3-5%),3.52,0,0,0.69,0.01
N,Sand,moderate (6-10%),3.52,0,0,0.64,0.04
N,Sand,rolling (11-15%),3.52,0,0,0.61,0.10
N,Sand,hilly (16-30%),3.52,0,0,0.53,0.31
N,Sand,steep (31-60%),3.52,0,0,0.40,0.87
